"tweet","date"
"Me and my Udemy courses:","4/3/2023 00.00.00"
"interesting reads on topics about applying tech on government policy yadda yadda

So you want to reform democracy by Joshua Tauberer","2/3/2023 00.00.00"
"Ada tambun coyy","1/3/2023 00.00.00"
"Forbes 30 under arrest ini mah","15/1/2023 00.00.00"
"SMA mah dispensasi buat cabut berkedok ikut lomba meskipun ga pernah menang , ini malah dispensasi nikah","12/1/2023 00.00.00"
"NieR:Automata Ver1.1a | Promotion File 009
All existence is designed to become extinct.

NieR:Automata Ver1.1a is now streaming every Saturday on 
@Crunchyroll
!

■ OPENING
#Aimer “escalate”

■ ENDING
#amazarashi ""Antinomy""","9/1/2023 00.00.00"
"Mencapai hidup yang otentik bukanlah sebuah proses yang mudah. Kierkegaard memberikan 3 tahap dalam kehidupan manusia untuk akhirnya dapat menghayati hidup yang otentik

Tahapan Eksistensi Manusia Menurut Søren Kierkegaard

- 1 minute thread","8/1/2023 00.00.00"
"Bahas model stable diffusion di TA matem kira kira abakal sekompleks dan se rigid apa yak??","10/1/2023 00.00.00"
"Kalo ganyang kayak gini, ayam cola masih ada ga ya 
@cimaaawww","10/1/2023 00.00.00"
"Okay, it's time to do detox on twitter for next 2 weeks lagi kayaknya","9/1/2023 00.00.00"
"Jadi jelek dah","2/1/2023 00.00.00"
"As a Biostatistics PhD candidate at the Harvard School of Public Health, I gotta say this:

 Public health is inherently political ","31/12/2022 00.00.00"
"Mau belajar webdev kedistract series series asik terus ","29/12/2022 00.00.00"
"My causal data science course on Udemy reached 2,000 students! 

To celebrate I created a special coupon link which lets you sign up at a reduced price for the next 30 days: https://udemy.com/course/causal-data-science/?couponCode=DFB8E7FB49A12767BA2F…

#Causality #DataScience #AI #MachineLearning #NewYearsResolution #LearnMore","29/12/2022 00.00.00"
"OpenAI's new ChatGPT explains the worst-case time complexity of the bubble sort algorithm, with Python code examples, in the style of a fast-talkin' wise guy from a 1940's gangster movie:","1/12/2022 00.00.00"
"Oh my God. OH MY GOD. I have found The Book. You know, the one that you read when you were 13 and barely remember anything about but then spent, like, 20 years on a holy quest to find said Book, just to prove that it actually exists? 

IT EXISTS.","2/12/2022 00.00.00"
"Gw selalu begini, meski gw ga ngerti apa apa yang dijelasin dosen","2/12/2022 00.00.00"
"anjerr ini namanya ga ada sensor sama sekali kahh??  https://twitter.com/BetaEpsilonPhi/status/1597940775886950400…","30/11/2022 00.00.00"
"anjir make graf buat text classification aneh banget, ga ada ptg ptg nya ini","30/11/2022 00.00.00"
"tapi menarik, at least matkul MA yang pernah gw ambil materinya kepake di TA","30/11/2022 00.00.00"
"kita lebih optimis daripada jpn, tapi etos kerja kita kok jauh di bawah mereka ya","30/11/2022 00.00.00"
"geom kalo ga bisa ngapa ngapain, jawab pake ""clearly"" aja","30/11/2022 00.00.00"
"OpenAI's new ChatGPT explains the worst-case time complexity of the bubble sort algorithm, with Python code examples, in the style of a fast-talkin' wise guy from a 1940's gangster movie:","1/12/2022 00.00.00"
"Oh my God. OH MY GOD. I have found The Book. You know, the one that you read when you were 13 and barely remember anything about but then spent, like, 20 years on a holy quest to find said Book, just to prove that it actually exists? 

IT EXISTS.","2/12/2022 00.00.00"
"Gw selalu begini, meski gw ga ngerti apa apa yang dijelasin dosen","2/12/2022 00.00.00"
"anjerr ini namanya ga ada sensor sama sekali kahh??  https://twitter.com/BetaEpsilonPhi/status/1597940775886950400…","30/11/2022 00.00.00"
"anjir make graf buat text classification aneh banget, ga ada ptg ptg nya ini","30/11/2022 00.00.00"
"tapi menarik, at least matkul MA yang pernah gw ambil materinya kepake di TA","30/11/2022 00.00.00"
"kita lebih optimis daripada jpn, tapi etos kerja kita kok jauh di bawah mereka ya","30/11/2022 00.00.00"
"geom kalo ga bisa ngapa ngapain, jawab pake ""clearly"" aja","30/11/2022 00.00.00"
"The most ratioed tweet i've ever seen setelah twit incess itbfess waktu itu  https://twitter.com/Kurniawan349725/status/1597271585135947777…","29/11/2022 00.00.00"
"Bener bener minggu penuh pembantaian","29/11/2022 00.00.00"
"learning to code in R","22/11/2022 00.00.00"
"Materi proses stokastik bener bener diterapkan ke dalam pengumuman waktu kuis, sangat tidak disangka sangka","22/11/2022 00.00.00"
"nggak dimana mana, ketemu graf terus","23/11/2022 00.00.00"
"Penasaran, kok bisa bocor gini ya email internal wkwk","19/11/2022 00.00.00"
"Most of the time, claims that a scientific discovery changes the way we see reality are hugely overblown. But the Bell tests done by John Clauser, Alain Aspect, and Anton Zeilinger really did. Here's my day two story on this year's Physics Nobel.","7/10/2022 00.00.00"
"mau heran tapi ini po","7/10/2022 00.00.00"
"kuis geometri serunya main sos","4/10/2022 00.00.00"
"Hai, guys! Kantorku, Telkom Indonesia, sekarang lagi open recruitment nih! Untuk para pencari kerja di bidang data science & AI (data scientist, data analyst, data engineer, dan AI), bisa banget hubungin aku di dm. (bakal bikin thread detailnya hehe)

#jobseeker #jobhiring #kerja","4/10/2022 00.00.00"
"Selama ada akun"" ngga jelas yang membela kelakuan polisi dalam peristiwa kemarin, kita tahu negara ini masih bakal terus mengalami busuknya ""oknum"" polisi.  Orang"" yg bela kelakuan polisi model gini pasti dibayar.  Dan yg bayar pengen kita terus dijajah rasa takut pada aparat.","2/10/2022 00.00.00"
"Bencana sepak bola terbesar di dunia itu terjadi di Lima, Peru tahun 1964 menewaskan 328 jiwa. Tebak pencetusnya apa? Gas air mata.","2/10/2022 00.00.00"
"Big L take","2/10/2022 00.00.00"
"Police who kill civilians then lie about the circumstances need to face extraordinary punishment. That is a crime that is possibly higher than any civilian crime. It can simply not be tolerated in a civilized society.","2/10/2022 00.00.00"
"sialan, akun ke lock 3 hari tweet di bookmark gw ilang semua","30/9/2022 00.00.00"
"Terlepas dari kasus e***h, 

Ada kebijakan di UK tentang sugar tax yang efeknya ke industri minuman kemasan. 

Kebijakan ini memaksa industri untuk membuat produk baru memanfaatkan data.
 
Mari kita bahas!","26/9/2022 00.00.00"
"itb! udh dibilang jgn nunda nunda keteteran kan","26/9/2022 00.00.00"
"Alhandulillah operasinya udah selesai, semoga sehat terus ya

buat yg nembak nih kucing, gue sumpahin semua kejahatan balik lagi ke dia","16/4/2022 00.00.00"
"""cuma ngoding"". Kalo cuma ngoding knp TA yg bahas SVM bisa puluhan lembar dan ada di matem :')), kan katanya cuma import sklear,n import tensorflow as tf doang :'))","12/4/2022 00.00.00"
"today is the perfect day to a-nn-ounce the official release of a software library i've been working on in stealth mode this past month

panndas: neural networks in pandas

https://github.com/charlesfrye/panndas…","2/4/2022 00.00.00"
"Disini komentarnya lebih waras, daripada di portal berita yang isinya sentimen politik semua","27/3/2022 00.00.00"
"Ini bikinnya pake apa ya, cakep bener viz nya","11/3/2022 00.00.00"
"Kalo ketauan kaya gini, pasti sumber contekannya sesat, makanya yg nyontek pada ketauan  https://twitter.com/itbfess/status/1501813859614879746…","10/3/2022 00.00.00"
"6 bulan belajar matkul analisa data sama probability theory, baru bener bener paham definisi formalnya pas di akhir semester ","4/3/2022 00.00.00"
"""cuma ngoding"". Kalo cuma ngoding knp TA yg bahas SVM bisa puluhan lembar dan ada di matem :')), kan katanya cuma import sklear,n import tensorflow as tf doang :'))","12/4/2022 00.00.00"
"today is the perfect day to a-nn-ounce the official release of a software library i've been working on in stealth mode this past month

panndas: neural networks in pandas

https://github.com/charlesfrye/panndas…","2/4/2022 00.00.00"
"Disini komentarnya lebih waras, daripada di portal berita yang isinya sentimen politik semua","27/3/2022 00.00.00"
"Ini bikinnya pake apa ya, cakep bener viz nya","11/3/2022 00.00.00"
"Kalo ketauan kaya gini, pasti sumber contekannya sesat, makanya yg nyontek pada ketauan  https://twitter.com/itbfess/status/1501813859614879746…","10/3/2022 00.00.00"
"6 bulan belajar matkul analisa data sama probability theory, baru bener bener paham definisi formalnya pas di akhir semester ","4/3/2022 00.00.00"
"Kuliah jadi spesialis kok disuruh buka bisnis? LPDP buka buat MBA aja kalo gitu biar semuanya buka starap","2/3/2022 00.00.00"
"Yang salah bukan ngopi dan jalan-jalannya. 

Yang salah itu generasi di atas kita yang mengubah properti dari kebutuhan primer menjadi investasi.","20/2/2022 00.00.00"
